EMBEDDED_SOLAR_GENERATION,NON_BM_STOR,EMBEDDED_SOLAR_CAPACITY,IFA2_FLOW,IFA_FLOW,_full_text,TSD,BRITNED_FLOW,ND,MOYLE_FLOW,SETTLEMENT_PERIOD,SETTLEMENT_DATE,ENGLAND_WALES_DEMAND,PUMP_STORAGE_PUMPING,EMBEDDED_WIND_CAPACITY,NEMO_FLOW,_id,EMBEDDED_WIND_GENERATION,EAST_WEST_FLOW
0,0,11503,0,923,"'-01':2,3 '0':10,12,15,19 '1':4 '11503':11 '1634':8 '2017':1 '233':18 '24789':7 '27316':5 '28013':6 '295':17 '4871':9 '857':16 '923':14 '97':13",28013,857,27316,295,1,2017-01-01,24789,97,4871,0,1,1634,233
0,0,11503,0,997,"'-01':2,3 '0':10,12,15,19 '11503':11 '1630':8 '2':4 '2017':1 '25486':7 '27900':5 '28539':6 '287':18 '297':17 '39':13 '4871':9 '874':16 '997':14",28539,874,27900,297,2,2017-01-01,25486,39,4871,0,2,1630,287
0,0,11503,0,997,"'-01':2,3 '0':10,12,15,19 '11503':11 '1660':8 '2017':1 '25254':7 '27588':5 '28279':6 '287':18 '297':17 '3':4 '4871':9 '818':16 '91':13 '997':14",28279,818,27588,297,3,2017-01-01,25254,91,4871,0,3,1660,287
0,0,11503,0,997,"'-01':2,3 '0':10,12,15,19 '11503':11 '1689':8 '2017':1 '24270':7 '26456':5 '27819':6 '287':18 '297':17 '4':4 '4871':9 '763':13 '822':16 '997':14",27819,822,26456,297,4,2017-01-01,24270,763,4871,0,4,1689,287
0,0,11503,0,997,"'-01':2,3 '0':10,12,15,19 '11503':11 '1536':13 '1736':8 '2017':1 '23409':7 '25429':5 '27565':6 '281':18 '297':17 '4871':9 '5':4 '854':16 '997':14",27565,854,25429,297,5,2017-01-01,23409,1536,4871,0,5,1736,281
0,0,11503,0,998,"'-01':2,3 '0':10,12,15,19 '11503':11 '1384':13 '1782':8 '2017':1 '22785':7 '24754':5 '26738':6 '287':18 '297':17 '4871':9 '6':4 '853':16 '998':14",26738,853,24754,297,6,2017-01-01,22785,1384,4871,0,6,1782,287
0,0,11503,0,997,"'-01':2,3 '0':10,12,15,19 '11503':11 '1629':13 '1805':8 '2017':1 '21835':7 '23789':5 '26018':6 '282':17 '287':18 '4871':9 '7':4 '853':16 '997':14",26018,853,23789,282,7,2017-01-01,21835,1629,4871,0,7,1805,287
0,0,11503,0,998,"'-01':2,3 '0':10,12,15,19 '11503':11 '1828':8 '1895':13 '2017':1 '20987':7 '22935':5 '25430':6 '265':17 '287':18 '4871':9 '8':4 '853':16 '998':14",25430,853,22935,265,8,2017-01-01,20987,1895,4871,0,8,1828,287
0,0,11503,0,362,"'-01':2,3 '0':10,12,15,19 '11503':11 '164':17 '1768':13 '1845':8 '2017':1 '20498':7 '22352':5 '24720':6 '287':18 '362':14 '4871':9 '853':16 '9':4",24720,853,22352,164,9,2017-01-01,20498,1768,4871,0,9,1845,287
0,0,11503,0,312,"'-01':2,3 '0':10,12,15,19 '10':4 '11503':11 '1856':13 '1862':8 '20165':7 '2017':1 '22037':5 '235':17 '24493':6 '287':18 '312':14 '4871':9 '853':16",24493,853,22037,235,10,2017-01-01,20165,1856,4871,0,10,1862,287
0,0,11503,0,50,"'-01':2,3 '0':10,12,15,19 '11':4 '11503':11 '1853':13 '1901':8 '19952':7 '2017':1 '21830':5 '24283':6 '266':17 '287':18 '4871':9 '50':14 '853':16",24283,853,21830,266,11,2017-01-01,19952,1853,4871,0,11,1901,287
0,0,11503,0,20,"'-01':2,3 '0':10,12,15,19 '11503':11 '12':4 '1839':13 '1940':8 '19814':7 '20':14 '2017':1 '21703':5 '24142':6 '263':17 '287':18 '4871':9 '853':16",24142,853,21703,263,12,2017-01-01,19814,1839,4871,0,12,1940,287
0,0,11503,0,-107,"'-01':2,3 '-107':14 '0':10,12,15,19 '11503':11 '13':4 '1770':13 '1900':8 '20093':7 '2017':1 '21967':5 '242':17 '24444':6 '287':18 '4871':9 '853':16",24444,853,21967,242,13,2017-01-01,20093,1770,4871,0,13,1900,287
0,0,11503,0,-64,"'-01':2,3 '-64':14 '0':10,12,15,19 '11503':11 '14':4 '1646':13 '1861':8 '2017':1 '20336':7 '22174':5 '242':17 '24484':6 '287':18 '4871':9 '853':16",24484,853,22174,242,14,2017-01-01,20336,1646,4871,0,14,1861,287
0,0,11503,0,-1007,"'-01':2,3 '-1007':14 '0':10,12,15,19 '11503':11 '15':4 '1878':8 '2017':1 '20693':7 '22473':5 '242':17 '24809':6 '287':18 '4871':9 '729':13 '854':16",24809,854,22473,242,15,2017-01-01,20693,729,4871,0,15,1878,287
0,0,11503,0,-1014,"'-01':2,3 '-1014':14 '0':10,12,15,19 '11503':11 '16':4 '1894':8 '2017':1 '20923':7 '22692':5 '242':17 '24347':6 '287':18 '41':13 '4871':9 '853':16",24347,853,22692,242,16,2017-01-01,20923,41,4871,0,16,1894,287
14,0,11503,0,-389,"'-01':2,3 '-389':14 '0':12,15,19 '10':13 '11503':11 '14':10 '17':4 '1908':8 '2017':1 '21644':7 '23513':5 '242':17 '24512':6 '287':18 '4871':9 '899':16",24512,899,23513,242,17,2017-01-01,21644,10,4871,0,17,1908,287
82,0,11503,0,-340,"'-01':2,3 '-340':14 '0':12,15,19 '11503':11 '18':4 '1923':8 '2017':1 '22597':7 '242':17 '24478':5 '25427':6 '287':18 '4871':9 '82':10 '9':13 '902':16",25427,902,24478,242,18,2017-01-01,22597,9,4871,0,18,1923,287
170,0,11503,0,17,"'-01':2,3 '0':12,15,19 '11503':11 '17':14 '170':10 '19':4 '1909':8 '2017':1 '23951':7 '25946':5 '262':17 '26554':6 '287':18 '4871':9 '8':13 '995':16",26554,995,25946,262,19,2017-01-01,23951,8,4871,0,19,1909,287
283,0,11503,0,-27,"'-01':2,3 '-27':14 '0':12,15,19 '1000':16 '11503':11 '1895':8 '20':4 '2017':1 '215':17 '25182':7 '27237':5 '27873':6 '283':10 '287':18 '4871':9 '9':13",27873,1000,27237,215,20,2017-01-01,25182,9,4871,0,20,1895,287
399,0,11503,0,976,"'-01':2,3 '0':12,15,19 '10':13 '11503':11 '1970':8 '2017':1 '21':4 '217':18 '221':17 '26657':7 '28862':5 '29472':6 '399':10 '4871':9 '976':14 '999':16",29472,999,28862,221,21,2017-01-01,26657,10,4871,0,21,1970,217
466,0,11503,0,997,"'-01':2,3 '0':12,15,19 '10':13 '1000':16 '11503':11 '199':18 '2017':1 '2044':8 '22':4 '261':17 '27811':7 '30128':5 '30738':6 '466':10 '4871':9 '997':14",30738,1000,30128,261,22,2017-01-01,27811,10,4871,0,22,2044,199
553,0,11503,0,997,"'-01':2,3 '0':12,15,19 '11503':11 '2017':1 '2140':8 '23':4 '256':17 '286':18 '28846':7 '31282':5 '31890':6 '4871':9 '553':10 '8':13 '997':14 '999':16",31890,999,31282,256,23,2017-01-01,28846,8,4871,0,23,2140,286
565,0,11503,0,997,"'-01':2,3 '0':12,15,19 '11503':11 '2017':1 '2235':8 '24':4 '287':18 '29633':7 '32144':5 '32753':6 '48':17 '4871':9 '565':10 '9':13 '997':14 '999':16",32753,999,32144,48,24,2017-01-01,29633,9,4871,0,24,2235,287
539,0,11503,0,997,"'-01':2,3 '-119':17 '0':12,15,19 '11503':11 '2017':1 '2344':8 '25':4 '287':18 '30495':7 '33026':5 '33750':6 '4871':9 '539':10 '6':13 '997':14 '999':16",33750,999,33026,-119,25,2017-01-01,30495,6,4871,0,25,2344,287
542,0,11503,0,998,"'-01':2,3 '-114':17 '0':12,15,19 '1000':16 '11503':11 '2017':1 '2453':8 '248':18 '26':4 '30869':7 '33438':5 '34156':6 '4871':9 '5':13 '542':10 '998':14",34156,1000,33438,-114,26,2017-01-01,30869,5,4871,0,26,2453,248
504,0,11503,0,952,"'-01':2,3 '-165':17 '0':12,15,19 '11503':11 '183':18 '2017':1 '2506':8 '27':4 '30974':7 '33443':5 '34211':6 '4':13 '4871':9 '504':10 '952':14 '999':16",34211,999,33443,-165,27,2017-01-01,30974,4,4871,0,27,2506,183
448,0,11503,0,949,"'-01':2,3 '-168':17 '0':12,15,19 '11503':11 '155':18 '2017':1 '2560':8 '28':4 '30951':7 '33363':5 '34136':6 '448':10 '4871':9 '5':13 '949':14 '999':16",34136,999,33363,-168,28,2017-01-01,30951,5,4871,0,28,2560,155
344,0,11503,0,950,"'-01':2,3 '-124':17 '0':12,15,19 '1000':16 '11503':11 '164':18 '2017':1 '2583':8 '29':4 '31148':7 '33524':5 '34253':6 '344':10 '4871':9 '5':13 '950':14",34253,1000,33524,-124,29,2017-01-01,31148,5,4871,0,29,2583,164
282,0,11503,0,949,"'-01':2,3 '-147':17 '0':12,15,19 '1000':16 '11503':11 '194':18 '2017':1 '2606':8 '282':10 '30':4 '31253':7 '33620':5 '34372':6 '4871':9 '5':13 '949':14",34372,1000,33620,-147,30,2017-01-01,31253,5,4871,0,30,2606,194
178,0,11503,0,996,"'-01':2,3 '-83':17 '0':12,15,19 '1000':16 '11503':11 '178':10 '2017':1 '251':18 '2541':8 '31':4 '31582':7 '34024':5 '34714':6 '4871':9 '7':13 '996':14",34714,1000,34024,-83,31,2017-01-01,31582,7,4871,0,31,2541,251
49,0,11503,0,998,"'-01':2,3 '-110':17 '0':12,15,19 '1000':16 '11503':11 '2017':1 '2476':8 '287':18 '32':4 '32422':7 '34796':5 '35512':6 '4871':9 '49':10 '6':13 '998':14",35512,1000,34796,-110,32,2017-01-01,32422,6,4871,0,32,2476,287
0,0,11503,0,998,"'-01':2,3 '-180':17 '0':10,12,15,19 '11503':11 '2017':1 '2450':8 '287':18 '33':4 '33664':7 '36276':5 '37064':6 '4871':9 '8':13 '865':16 '998':14",37064,865,36276,-180,33,2017-01-01,33664,8,4871,0,33,2450,287
