measurementDate,publishTime,temperature,temperatureReferenceAverage,temperatureReferenceHigh,temperatureReferenceLow
2022-12-31,2022-12-31T16:45:00Z,9.1,5.7,8.7,1.3
2022-12-30,2022-12-30T16:45:00Z,8.2,5.7,8.7,1.3
2022-12-29,2022-12-29T16:45:00Z,7.6,5.7,8.7,1.4
2022-12-28,2022-12-28T16:45:00Z,7.4,5.7,8.8,1.4
2022-12-27,2022-12-27T16:45:00Z,6.2,5.7,8.8,1.5
2022-12-26,2022-12-26T16:45:00Z,6.7,5.7,8.8,1.5
2022-12-25,2022-12-25T16:45:00Z,8.5,5.7,8.8,1.6
2022-12-24,2022-12-24T16:45:00Z,7.4,5.7,8.8,1.7
2022-12-23,2022-12-23T16:45:00Z,7.7,5.7,8.9,1.8
2022-12-22,2022-12-22T16:45:00Z,7.7,5.7,8.9,1.9
2022-12-21,2022-12-21T16:45:00Z,7.9,5.7,8.9,2.0
2022-12-20,2022-12-20T16:45:00Z,7.6,5.7,8.9,2.1
2022-12-19,2022-12-19T16:45:00Z,6.8,5.8,9.0,2.2
2022-12-18,2022-12-18T16:45:00Z,0.8,5.8,9.0,2.3
2022-12-17,2022-12-17T16:45:00Z,0.0,5.8,9.1,2.4
2022-12-16,2022-12-16T16:45:00Z,-1.8,5.9,9.1,2.5
2022-12-15,2022-12-15T16:45:00Z,-1.9,5.9,9.2,2.6
2022-12-14,2022-12-14T16:45:00Z,-1.2,6.0,9.2,2.7
2022-12-13,2022-12-13T16:45:00Z,-0.9,6.0,9.3,2.8
2022-12-12,2022-12-12T16:45:00Z,-0.7,6.1,9.3,2.9
2022-12-11,2022-12-11T16:45:00Z,0.3,6.2,9.4,3.0
2022-12-10,2022-12-10T16:45:00Z,1.0,6.2,9.4,3.0
2022-12-09,2022-12-09T16:45:00Z,1.4,6.3,9.5,3.1
2022-12-08,2022-12-08T16:45:00Z,1.9,6.4,9.5,3.2
2022-12-07,2022-12-07T16:45:00Z,3.6,6.5,9.6,3.2
2022-12-06,2022-12-06T16:45:00Z,4.9,6.6,9.6,3.3
2022-12-05,2022-12-05T16:45:00Z,5.4,6.7,9.7,3.4
2022-12-04,2022-12-04T16:45:00Z,4.9,6.7,9.8,3.5
2022-12-03,2022-12-03T16:45:00Z,5.2,6.8,9.8,3.5
2022-12-02,2022-12-02T16:45:00Z,4.9,6.9,9.9,3.6
2022-12-01,2022-12-01T16:45:00Z,5.6,7.0,9.9,3.7
2022-11-30,2022-11-30T16:45:00Z,6.1,7.1,10.0,3.8
2022-11-29,2022-11-29T16:45:00Z,6.7,7.1,10.1,3.9
2022-11-28,2022-11-28T16:45:00Z,8.9,7.2,10.1,4.0
2022-11-27,2022-11-27T16:45:00Z,10.3,7.3,10.2,4.1
2022-11-26,2022-11-26T16:45:00Z,9.7,7.4,10.3,4.2
2022-11-25,2022-11-25T16:45:00Z,9.1,7.5,10.3,4.4
2022-11-24,2022-11-24T16:45:00Z,8.7,7.5,10.4,4.5
2022-11-23,2022-11-23T16:45:00Z,8.2,7.6,10.5,4.6
2022-11-22,2022-11-22T16:45:00Z,7.4,7.7,10.6,4.8
2022-11-21,2022-11-21T18:03:00Z,7.4,7.8,10.7,4.9
2022-11-20,2022-11-20T16:45:00Z,8.6,8.0,10.8,5.1
2022-11-19,2022-11-19T16:45:00Z,9.1,8.1,10.9,5.2
2022-11-18,2022-11-18T16:45:00Z,9.8,8.2,11.0,5.4
2022-11-17,2022-11-17T16:45:00Z,9.9,8.3,11.1,5.6
2022-11-16,2022-11-16T16:45:00Z,10.1,8.5,11.2,5.8
2022-11-15,2022-11-15T16:45:00Z,11.6,8.6,11.3,5.9
2022-11-14,2022-11-14T16:45:00Z,12.0,8.8,11.4,6.1
2022-11-13,2022-11-13T16:45:00Z,12.5,8.9,11.5,6.3
2022-11-12,2022-11-12T16:45:00Z,13.2,9.1,11.6,6.5
2022-11-11,2022-11-11T16:45:00Z,14.2,9.2,11.7,6.6
2022-11-10,2022-11-10T16:45:00Z,12.9,9.4,11.8,6.8
2022-11-09,2022-11-09T16:45:00Z,11.8,9.6,12.0,7.0
2022-11-08,2022-11-08T16:45:00Z,12.0,9.7,12.1,7.1
2022-11-07,2022-11-07T16:45:00Z,11.6,9.9,12.2,7.2
2022-11-06,2022-11-06T16:45:00Z,10.3,10.0,12.4,7.4
2022-11-05,2022-11-05T16:45:00Z,10.3,10.2,12.5,7.5
2022-11-04,2022-11-04T16:45:00Z,10.3,10.4,12.7,7.6
2022-11-03,2022-11-03T16:45:00Z,11.4,10.5,12.8,7.7
2022-11-02,2022-11-03T14:23:00Z,12.9,10.7,12.9,7.9
2022-11-01,2022-11-01T16:45:00Z,13.8,10.8,13.1,8.0
2022-10-31,2022-10-31T16:45:00Z,14.7,11.0,13.2,8.1
2022-10-30,2022-10-30T16:45:00Z,14.9,11.1,13.3,8.2
2022-10-29,2022-10-29T15:45:00Z,14.8,10.4,12.9,7.1
2022-10-28,2022-10-28T15:45:00Z,15.2,10.5,13.0,7.3
2022-10-27,2022-10-27T15:45:00Z,14.9,10.6,13.1,7.4
2022-10-26,2022-10-26T15:45:00Z,14.6,10.7,13.2,7.5
2022-10-25,2022-10-25T15:45:00Z,13.3,10.8,13.3,7.7
2022-10-24,2022-10-24T15:45:00Z,13.7,10.9,13.3,7.8
2022-10-23,2022-10-23T15:45:00Z,14.1,11.0,13.4,8.0
2022-10-22,2022-10-22T15:45:00Z,13.8,11.1,13.5,8.1
2022-10-21,2022-10-21T15:45:00Z,13.6,11.2,13.6,8.3
2022-10-20,2022-10-20T15:45:00Z,13.1,11.3,13.7,8.5
2022-10-19,2022-10-19T15:45:00Z,12.5,11.4,13.8,8.6
2022-10-18,2022-10-18T15:45:00Z,12.1,11.5,13.9,8.8
2022-10-17,2022-10-17T15:45:00Z,13.5,11.6,14.0,9.0
2022-10-16,2022-10-16T15:45:00Z,12.2,11.7,14.1,9.2
2022-10-15,2022-10-15T15:45:00Z,12.5,11.8,14.2,9.4
2022-10-14,2022-10-14T15:45:00Z,12.2,11.9,14.3,9.5
2022-10-13,2022-10-13T15:45:00Z,11.7,12.0,14.4,9.7
2022-10-12,2022-10-12T15:45:00Z,11.7,12.1,14.5,9.9
2022-10-11,2022-10-11T15:45:00Z,11.1,12.2,14.5,10.1
2022-10-10,2022-10-10T15:45:00Z,12.1,12.3,14.6,10.2
2022-10-09,2022-10-09T15:45:00Z,12.6,12.5,14.7,10.4
2022-10-08,2022-10-08T15:45:00Z,13.2,12.6,14.8,10.5
2022-10-07,2022-10-07T15:45:00Z,14.5,12.7,14.9,10.7
2022-10-06,2022-10-06T15:45:00Z,14.2,12.8,15.0,10.9
2022-10-05,2022-10-05T15:45:00Z,14.9,13.0,15.1,11.0
